url|idiom|sentence
https://idioms.thefreedictionary.com/at+rest|at rest|After the hectic day, the office was finally at rest at 8:00 
https://idioms.thefreedictionary.com/at+rest|at rest| 
https://idioms.thefreedictionary.com/at+rest|at rest|When the car is at rest, you can get into the backseat.
https://idioms.thefreedictionary.com/at+rest|at rest|After a long, weary life, Emily is at rest.
https://idioms.thefreedictionary.com/at+rest|at rest|There he is, at rest in his coffin.
https://idioms.thefreedictionary.com/at+rest|at rest|At rest the insect looks like a dead leaf.
https://idioms.thefreedictionary.com/at+rest|at rest|She now lies at rest in the family grave.
https://idioms.thefreedictionary.com/at+risk|at risk|Well, when you're involved in a pyramid scheme, you're at risk for losing a lot of money.
https://idioms.thefreedictionary.com/at+risk|at risk|Because I have poor vision, I'm worried that my daughter is at risk for it too.
https://idioms.thefreedictionary.com/at+risk|at risk|If you sign this contract, you'll be at risk for a lot of fees.
https://idioms.thefreedictionary.com/at+risk|at risk|I refuse to put my family's welfare at risk by quitting my job.
https://idioms.thefreedictionary.com/at+risk|at risk|Your whole future is at risk if you don't stop smoking.
https://idioms.thefreedictionary.com/at+risk|at risk|As with all diseases, certain groups will be more at risk than others.
https://idioms.thefreedictionary.com/at+risk|at risk|If we go to war, innocent lives will be put at risk.
https://idioms.thefreedictionary.com/at+risk|at risk|unsupervised children who are at risk of dropping out of school. 
https://idioms.thefreedictionary.com/at+risk+to+(someone%2c+something%2c+or+oneself)|at risk to (someone, something, or oneself)|When you choose to gamble, you do so at risk to your bank account.
https://idioms.thefreedictionary.com/at+risk+to+(someone%2c+something%2c+or+oneself)|at risk to (someone, something, or oneself)|He dived in to save the child at considerable risk to his own life.
https://idioms.thefreedictionary.com/at+risk+to+yourself%2fsomebody%2fsomething|at risk to yourself/somebody/something|When you choose to gamble, you do so at risk to your bank account.
https://idioms.thefreedictionary.com/at+risk+to+yourself%2fsomebody%2fsomething|at risk to yourself/somebody/something|He dived in to save the child at considerable risk to his own life.
https://idioms.thefreedictionary.com/at+sea|at sea|A: "Is your mother at sea yet?" B: "Yes, her cruise lasts several weeks."
https://idioms.thefreedictionary.com/at+sea|at sea|I tried to do well in this class, but I've been at sea since we started.
https://idioms.thefreedictionary.com/at+sea|at sea|When it comes to higher math, John is totally at sea.
https://idioms.thefreedictionary.com/at+sea|at sea|The ship is at sea now, and you can't disembark.
https://idioms.thefreedictionary.com/at+sea|at sea|I spent many happy days at sea on my cruise.
