url|idiom|sentence
https://idioms.thefreedictionary.com/at+least|at least|There were at least four people there that I knew.
https://idioms.thefreedictionary.com/at+least|at least|I want to spend at least three weeks in Mexico.
https://idioms.thefreedictionary.com/at+least|at least|There were at least 70 000 people at the concert.
https://idioms.thefreedictionary.com/at+least|at least|I know it’s difficult for him to telephone me, but he could at least write.
https://idioms.thefreedictionary.com/at+least|at least|This car is slow, it uses a lot of petrol, but at least it doesn’t break down.
https://idioms.thefreedictionary.com/at+least|at least|It’s true. At least, I think so.
https://idioms.thefreedictionary.com/at+least|at least|We waited at least an hour.
https://idioms.thefreedictionary.com/at+least|at least|You might at least answer the letter.
https://idioms.thefreedictionary.com/at+least|at least|The results weren't encouraging, but at least they were accurate.
https://idioms.thefreedictionary.com/at+least+so+many|at least so many|I didn't expect so many guests! We'll need at least five more seats at the table for dinner.
https://idioms.thefreedictionary.com/at+least+so+many|at least so many|I try to keep at least $1,000 in my bank account at all times.
https://idioms.thefreedictionary.com/at+least+so+many|at least so many|At least it only rained for two days of your trip!
https://idioms.thefreedictionary.com/at+least+so+many|at least so many|OK so Tom didn't come over tonight. At least he still called you.
https://idioms.thefreedictionary.com/at+least+so+many|at least so many|There were at least four people there that I knew.
https://idioms.thefreedictionary.com/at+least+so+many|at least so many|I want to spend at least three weeks in Mexico.
https://idioms.thefreedictionary.com/at+leisure|at leisure|The tour group always gives us a couple free hours so we can explore each city at our leisure.
https://idioms.thefreedictionary.com/at+leisure|at leisure|There is no time limit to the exam, so please complete it at your leisure.
https://idioms.thefreedictionary.com/at+leisure|at leisure|No rush, you can fill out that paperwork at your leisure.
https://idioms.thefreedictionary.com/at+leisure|at leisure|I like to spend my weekends reading at leisure.
https://idioms.thefreedictionary.com/at+leisure|at leisure|I just graduated from college—can't I spend some time at leisure?
https://idioms.thefreedictionary.com/at+leisure|at leisure|Choose one or the other at your leisure.
https://idioms.thefreedictionary.com/at+leisure|at leisure|Please drop by at your leisure.
https://idioms.thefreedictionary.com/at+leisure|at leisure|I’m not going to read this report now; I’ll read it later at my leisure.
https://idioms.thefreedictionary.com/at+leisure|at leisure|I'll return the call at my leisure.
https://idioms.thefreedictionary.com/at+length|at length|I studied American modernism in college, so I can speak about Eliot's poetry at length.
